Speaker,Adressee,Most Likely Sentiment,Total Mentions,Avg Positive Probability,Avg Neutral Probability,Avg Negative Probability,Number of Positive Mentions,Number of Neutral Mentions,Number of Negative Mentions
Algeria,Russia,positive,1,0.65,0.34,0.01,1,0,0
Angola,Russia,negative,2,0.07,0.54,0.39,0,1,1
Antigua and Barbuda,Russia,neutral,1,0.02,0.57,0.42,0,1,0
Argentina,Russia,negative,1,0.01,0.36,0.62,0,0,1
Australia,Russia,negative,3,0.01,0.22,0.77,0,0,3
Austria,Russia,negative,3,0.01,0.25,0.74,0,0,3
Belarus,Russia,positive,2,0.49,0.49,0.02,1,1,0
Belgium,Russia,negative,2,0.01,0.11,0.89,0,0,2
Belize,Russia,negative,1,0.01,0.09,0.91,0,0,1
Bolivia,Russia,neutral,1,0.11,0.73,0.16,0,1,0
Botswana,Russia,neutral,1,0.02,0.56,0.42,0,1,0
Brazil,Russia,neutral,1,0.04,0.87,0.09,0,1,0
Bulgaria,Russia,negative,4,0.04,0.56,0.4,0,2,2
Burkina Faso,Russia,neutral,3,0.02,0.62,0.36,0,2,1
Canada,Russia,negative,11,0.04,0.39,0.57,0,4,7
Chile,Russia,negative,1,0.01,0.48,0.5,0,0,1
Congo,Russia,positive,2,0.44,0.55,0.01,1,1,0
Costa Rica,Russia,negative,2,0.03,0.47,0.5,0,1,1
Czech Republic,Russia,negative,11,0.01,0.27,0.71,0,3,8
Denmark,Russia,negative,5,0.18,0.47,0.36,1,2,2
Dominica,Russia,neutral,1,0.22,0.77,0.01,0,1,0
Egypt,Russia,neutral,1,0.11,0.73,0.16,0,1,0
Estonia,Russia,negative,12,0.01,0.23,0.75,0,1,11
Ethiopia,Russia,neutral,1,0.11,0.73,0.16,0,1,0
Finland,Russia,negative,2,0.01,0.21,0.78,0,0,2
France,Russia,negative,1,0.01,0.11,0.89,0,0,1
Gambia,Russia,negative,2,0.06,0.52,0.42,0,1,1
Georgia,Russia,negative,2,0.1,0.49,0.4,0,1,1
Germany,Russia,negative,5,0.05,0.45,0.5,0,2,3
Greece,Russia,negative,2,0.01,0.21,0.78,0,0,2
Guatemala,Russia,negative,2,0.01,0.1,0.9,0,0,2
Honduras,Russia,neutral,1,0.11,0.73,0.16,0,1,0
Iceland,Russia,negative,4,0.01,0.14,0.85,0,0,4
India,Russia,neutral,1,0.11,0.73,0.16,0,1,0
Ireland,Russia,negative,5,0.04,0.33,0.63,0,2,3
Italy,Russia,neutral,1,0.04,0.51,0.45,0,1,0
Japan,Russia,negative,2,0.01,0.17,0.83,0,0,2
Kenya,Russia,positive,1,0.67,0.33,0.01,1,0,0
Korea Republic of,Russia,negative,1,0.01,0.2,0.79,0,0,1
Latvia,Russia,negative,28,0.04,0.36,0.59,0,10,18
Liechtenstein,Russia,negative,2,0.01,0.3,0.69,0,0,2
Lithuania,Russia,negative,18,0.07,0.39,0.53,0,5,13
Luxembourg,Russia,negative,2,0.03,0.31,0.67,0,1,1
Malaysia,Russia,negative,1,0.01,0.14,0.86,0,0,1
Mali,Russia,positive,2,0.52,0.4,0.08,1,1,0
Malta,Russia,neutral,3,0.06,0.57,0.37,0,2,1
Marshall Islands,Russia,negative,1,0.01,0.26,0.72,0,0,1
Mauritius,Russia,neutral,1,0.02,0.82,0.17,0,1,0
Mexico,Russia,negative,1,0.01,0.17,0.82,0,0,1
Moldova,Russia,neutral,4,0.18,0.53,0.29,0,3,1
Monaco,Russia,negative,1,0.01,0.13,0.86,0,0,1
Montenegro,Russia,neutral,1,0.18,0.77,0.05,0,1,0
Netherlands,Russia,negative,7,0.06,0.31,0.63,0,2,5
New Zealand,Russia,negative,4,0.1,0.24,0.66,0,1,3
Nicaragua,Russia,neutral,3,0.37,0.47,0.16,1,2,0
North Macedonia,Russia,negative,1,0.01,0.12,0.87,0,0,1
Norway,Russia,negative,3,0.02,0.33,0.65,0,0,3
Palau,Russia,negative,3,0.01,0.29,0.7,0,0,3
Poland,Russia,negative,9,0.03,0.37,0.6,0,4,5
Qatar,Russia,negative,1,0.02,0.23,0.76,0,0,1
Romania,Russia,negative,4,0.02,0.42,0.56,0,1,3
Saint Lucia,Russia,neutral,1,0.02,0.49,0.49,0,1,0
Sao Tome and Principe,Russia,neutral,1,0.22,0.69,0.09,0,1,0
SaudiArabia,Russia,neutral,1,0.05,0.85,0.09,0,1,0
Serbia,Russia,neutral,2,0.04,0.81,0.16,0,2,0
Singapore,Russia,negative,1,0.01,0.18,0.81,0,0,1
Slovakia,Russia,negative,3,0.08,0.32,0.6,0,1,2
South Africa,Russia,neutral,2,0.17,0.78,0.05,0,2,0
Spain,Russia,negative,3,0.08,0.42,0.51,0,1,2
SriLanka,Russia,neutral,1,0.11,0.73,0.16,0,1,0
Sweden,Russia,negative,11,0.01,0.21,0.78,0,0,11
Switzerland,Russia,negative,1,0.01,0.12,0.87,0,0,1
Syria,Russia,neutral,2,0.12,0.76,0.12,0,2,0
Ukraine,Russia,negative,18,0.03,0.4,0.57,0,6,12
United Kingdom,Russia,negative,2,0.05,0.41,0.54,0,1,1
United States,Russia,negative,6,0.02,0.24,0.74,0,0,6
Venezuela,Russia,neutral,1,0.11,0.73,0.16,0,1,0
Zambia,Russia,negative,1,0.01,0.14,0.85,0,0,1
