Speaker,Adressee,Most Likely Sentiment,Total Mentions,Avg Positive Probability,Avg Neutral Probability,Avg Negative Probability,Number of Positive Mentions,Number of Neutral Mentions,Number of Negative Mentions
Albania,Ukraine,negative,3,0.03,0.29,0.67,0,1,2
Algeria,Ukraine,positive,1,0.65,0.34,0.01,1,0,0
Andorra,Ukraine,negative,1,0.01,0.19,0.8,0,0,1
Angola,Ukraine,negative,3,0.05,0.42,0.53,0,1,2
Antigua and Barbuda,Ukraine,neutral,1,0.02,0.57,0.42,0,1,0
Argentina,Ukraine,neutral,1,0.02,0.8,0.17,0,1,0
Australia,Ukraine,negative,2,0.01,0.11,0.89,0,0,2
Austria,Ukraine,negative,3,0.01,0.25,0.74,0,0,3
Bahrain,Ukraine,neutral,1,0.19,0.75,0.06,0,1,0
Barbados,Ukraine,negative,2,0.01,0.23,0.76,0,0,2
Belarus,Ukraine,neutral,5,0.17,0.46,0.37,1,3,1
Belgium,Ukraine,negative,2,0.01,0.27,0.72,0,0,2
Belize,Ukraine,negative,2,0.01,0.1,0.89,0,0,2
Benin,Ukraine,negative,1,0.02,0.44,0.53,0,0,1
Bosnia and Herzegovina,Ukraine,negative,1,0.01,0.21,0.79,0,0,1
Botswana,Ukraine,negative,2,0.02,0.49,0.49,0,1,1
Brazil,Ukraine,negative,1,0.01,0.1,0.9,0,0,1
Bulgaria,Ukraine,negative,5,0.13,0.45,0.43,1,1,3
Burkina Faso,Ukraine,negative,2,0.02,0.52,0.46,0,1,1
Cabo Verde,Ukraine,negative,2,0.01,0.33,0.66,0,0,2
Cambodia,Ukraine,negative,1,0.01,0.16,0.83,0,0,1
Cameroon,Ukraine,neutral,1,0.02,0.51,0.47,0,1,0
Canada,Ukraine,neutral,3,0.29,0.38,0.33,1,1,1
Chile,Ukraine,negative,2,0.04,0.63,0.33,0,1,1
China,Ukraine,positive,2,0.39,0.53,0.07,1,1,0
Colombia,Ukraine,neutral,3,0.2,0.75,0.06,0,3,0
Congo,Ukraine,positive,2,0.44,0.55,0.01,1,1,0
Congo the Democratic Republic of the,Ukraine,negative,1,0,0.1,0.9,0,0,1
Costa Rica,Ukraine,negative,2,0.01,0.45,0.54,0,1,1
Cote d'Ivoire,Ukraine,negative,2,0.05,0.47,0.48,0,1,1
Cyprus,Ukraine,negative,6,0.03,0.35,0.62,0,2,4
Czech Republic,Ukraine,neutral,13,0.18,0.55,0.27,1,8,4
Denmark,Ukraine,neutral,5,0.28,0.4,0.32,2,1,2
Dominica,Ukraine,negative,5,0.05,0.39,0.56,0,2,3
Ecuador,Ukraine,neutral,3,0.1,0.58,0.32,0,2,1
